run_id,condition,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,phase,block,trial,rewarded,image,unrewarded_left_trials,unrewarded_right_trials,task,correct_shape,response,correct,did_reward,value,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
3,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,574,600571,0.0-3.0-2.0-2.77-0.77,test,2,"""","""","""","""","""",reward-feedback,"""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,575,601088,0.0-3.0-2.0-0.78,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,4088.0749999778345,"<img src=""7C_10S_yellow3.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,576,605186,0.0-3.0-2.0-1.78,test,2,79,0,7C_10S_yellow3.jpg,0,2,respond,squares,circles,false,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"""",null,html-keyboard-response,577,606702,0.0-3.0-2.0-3.78-0.78,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,578,607228,0.0-3.0-2.0-0.79,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,295.2899999800138,"<img src=""7C_10S_yellow4.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,579,607525,0.0-3.0-2.0-1.79,test,2,80,1,7C_10S_yellow4.jpg,0,2,respond,squares,circles,false,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"""",null,html-keyboard-response,580,609040,0.0-3.0-2.0-3.79-0.79,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,581,609557,0.0-3.0-2.0-0.80,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,378.8300000014715,"<img src=""7S_10C_yellow6.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,582,609939,0.0-3.0-2.0-1.80,test,2,81,0,7S_10C_yellow6.jpg,0,3,respond,circles,squares,false,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"""",null,html-keyboard-response,583,611448,0.0-3.0-2.0-3.80-0.80,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,584,611963,0.0-3.0-2.0-0.81,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,577.1399999503046,"<img src=""7S_10C_yellow9.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,585,612544,0.0-3.0-2.0-1.81,test,2,82,0,7S_10C_yellow9.jpg,0,3,respond,circles,circles,true,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"""",null,html-keyboard-response,586,614055,0.0-3.0-2.0-3.81-0.81,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,587,614583,0.0-3.0-2.0-0.82,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,488.0649999831803,"<img src=""7C_10S_yellow3.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,588,615074,0.0-3.0-2.0-1.82,test,2,83,1,7C_10S_yellow3.jpg,0,3,respond,squares,circles,false,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"""",null,html-keyboard-response,589,616584,0.0-3.0-2.0-3.82-0.82,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,590,617098,0.0-3.0-2.0-0.83,test,2,"""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
